,2014,2012,2011,2010,2009,2008,2005,2000,1990,1970
Sri Lanka,4.5,9.1,8.4,8.0,3.5,6.0,6.2,6.0,6.4,3.8
Botswana,4.4,4.8,6.0,8.6,-7.7,6.2,4.6,2.0,6.8,17.1
Kazakhstan,4.4,5.0,7.5,7.3,1.2,3.3,9.7,9.8,,
"Iran, Islamic Rep.",4.3,-6.6,3.7,6.6,2.3,.9,4.2,5.8,13.6,10.9
Gabon,4.3,5.3,7.1,9.1,-1.2,-3.0,3.9,-1.9,5.2,8.7
Guatemala,4.2,3.0,4.2,2.9,.5,3.3,3.3,3.6,3.1,5.7
Luxembourg,4.1,-.8,2.6,5.7,-5.4,-.8,3.2,8.4,5.3,1.8
Burkina Faso,4.0,6.5,6.5,8.4,3.0,7.3,8.7,1.8,-.6,.1
Ghana,4.0,9.3,14.0,7.9,4.8,9.1,5.9,3.7,3.3,9.7
Qatar,4.0,4.9,13.4,19.6,12.0,17.7,7.5,,,
Dominica,3.9,-1.3,0.0,.7,-1.2,7.0,-.1,.4,5.3,
Zimbabwe,3.8,10.6,11.9,11.4,6.0,-17.7,-5.7,-3.1,7.0,22.6
Algeria,3.8,3.3,2.8,3.6,1.6,2.0,5.9,2.2,.8,8.9
"Macedonia, FYR",3.8,-.5,2.3,3.4,-.4,5.5,4.7,4.5,,
Kiribati,3.7,2.8,2.7,-.5,-.7,2.8,-.2,9.5,2.1,
Ecuador,3.7,5.6,7.9,3.5,.6,6.4,5.3,1.1,3.7,6.9
Hungary,3.7,-1.7,1.8,.7,-6.6,.8,4.4,4.2,,
Lesotho,3.6,5.0,4.0,7.9,3.4,5.7,2.7,5.1,5.6,2.2
Kyrgyz Republic,3.6,-.1,6.0,-.5,2.9,8.4,-.2,5.4,5.7,
Mauritius,3.6,3.2,3.9,4.1,3.0,5.5,1.2,9.0,7.2,
Belize,3.6,3.8,2.1,3.3,.7,3.2,2.6,13.0,10.6,4.8
Costa Rica,3.5,5.2,4.5,5.0,-1.0,2.7,5.9,1.8,3.9,7.5
Armenia,3.5,7.2,4.7,2.2,-14.1,6.9,13.9,5.9,,
Uruguay,3.5,3.3,5.2,7.8,4.2,7.2,7.5,-1.9,.3,2.3
Saudi Arabia,3.5,5.4,10.0,4.8,1.8,8.4,7.3,4.9,8.3,8.5
South Sudan,3.4,-46.1,-4.6,5.5,5.0,,,,,
Poland,3.3,1.6,5.0,3.7,2.6,3.9,3.5,4.3,,
Seychelles,3.3,6.0,7.9,5.9,-1.1,-2.1,9.0,1.5,7.0,8.9
Madagascar,3.3,3.0,1.5,.3,-4.0,7.1,4.6,4.8,3.1,5.3
"Korea, Rep.",3.3,2.3,3.7,6.5,.7,2.8,3.9,8.8,9.3,12.9
Sudan,3.1,-2.2,-2.0,3.5,3.2,7.8,7.5,6.3,-5.5,5.9
Jordan,3.1,2.7,2.6,2.3,5.5,7.2,8.2,4.2,1.0,
Honduras,3.1,4.1,3.8,3.7,-2.4,4.2,6.1,5.7,.1,3.6
Slovenia,3.0,-2.7,.6,1.2,-7.8,3.3,4.0,4.2,,
Lithuania,3.0,3.8,6.0,1.6,-14.8,2.6,7.7,3.8,,
New Zealand,3.0,2.2,2.2,1.4,-.3,-1.6,3.4,2.8,.1,
United Kingdom,2.9,1.2,2.0,1.5,-4.2,-.5,3.0,3.8,.5,2.7
Singapore,2.9,3.4,6.2,15.2,-.6,1.8,7.5,8.9,10.0,13.9
Turkey,2.9,2.1,8.8,9.2,-4.8,.7,8.4,6.8,9.3,3.2
Estonia,2.9,5.2,7.6,2.5,-14.7,-5.4,9.4,10.6,,
Oman,2.9,7.1,-1.1,4.8,6.1,8.2,2.5,5.4,-.1,13.9
Cabo Verde,2.8,1.1,4.0,1.5,-1.3,6.7,6.9,14.3,.7,
Romania,2.8,.6,1.1,-.8,-7.1,8.5,4.2,2.4,,
Haiti,2.7,2.9,5.5,-5.5,3.1,.8,1.8,.9,,
Tunisia,2.7,4.1,-1.9,3.5,3.0,4.2,3.5,4.7,7.9,4.7
Israel,2.6,2.9,5.0,5.5,1.3,3.1,4.4,8.9,6.8,7.3
Guinea-Bissau,2.5,-2.2,9.0,4.4,3.3,3.2,4.3,5.4,6.1,
Slovak Republic,2.5,1.5,2.8,5.1,-5.5,5.7,6.4,1.2,,
"Hong Kong SAR, China",2.5,1.7,4.8,6.8,-2.5,2.1,7.4,7.7,3.8,9.2
Australia,2.5,3.6,2.4,2.0,1.8,3.7,3.2,3.9,3.5,7.2
Swaziland,2.5,3.0,1.3,1.7,1.3,2.4,2.5,1.8,21.0,
Canada,2.4,1.9,3.0,3.4,-2.7,1.2,3.2,5.1,.1,2.6
Morocco,2.4,3.0,5.2,3.8,4.2,5.9,3.0,1.6,2.8,4.7
United States,2.4,2.3,1.6,2.5,-2.8,-.3,3.3,4.1,1.9,3.2
Latvia,2.4,4.0,6.2,-3.8,-14.3,-3.6,10.7,5.4,,
Peru,2.4,6.0,6.5,8.5,1.0,9.1,6.3,2.7,-5.0,5.8
Sweden,2.3,-.3,2.7,6.0,-5.2,-.6,2.8,4.7,.8,6.0
Vanuatu,2.3,1.8,1.2,1.6,3.3,6.4,5.3,5.9,11.7,
Mexico,2.2,4.0,3.9,5.2,-4.7,1.4,3.0,5.3,5.1,6.5
Norway,2.2,2.7,1.0,.6,-1.6,.4,2.6,3.2,1.9,2.0
"Egypt, Arab Rep.",2.2,2.2,1.8,5.1,4.7,7.2,4.5,5.4,5.7,5.6
Albania,2.2,1.4,2.6,3.7,3.4,7.5,5.7,6.7,-9.6,
Tonga,2.1,.5,2.0,4.2,1.1,2.5,1.6,3.4,-2.0,
Comoros,2.1,3.0,2.6,2.2,1.9,.4,2.8,10.8,5.1,
Azerbaijan,2.0,2.2,.1,4.9,9.4,10.8,26.4,11.1,,
Lebanon,2.0,2.2,2.0,8.0,10.3,9.1,2.7,1.3,26.5,
Tuvalu,2.0,.2,8.5,-2.7,-4.4,8.0,-3.8,-1.0,,
