Mauritania,6.5,7.0,7.2,7.4,7.8,8.7,11.1,11.5
Nigeria,6.4,6.0,5.7,5.5,5.6,5.7,7.1,9.2
Maldives,6.2,7.2,8.4,9.8,11.5,13.2,15.2,11.8
Kyrgyz Republic,6.0,6.5,7.2,7.9,8.7,9.1,10.4,15.2
"Gambia, The",6.0,6.0,7.0,8.8,11.2,13.1,15.0,14.1
Costa Rica,5.9,5.5,5.3,5.3,5.3,5.2,6.0,5.2
Uzbekistan,5.8,7.2,8.3,9.1,9.5,10.0,14.7,11.5
Armenia,5.7,6.4,6.6,6.5,6.1,6.1,10.9,21.4
St. Vincent and the Grenadines,5.7,6.0,6.3,6.8,7.3,7.9,10.0,18.9
Azerbaijan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,22.5
Argentina,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Barbados,5.0,5.0,5.0,5.0,5.0,5.3,6.9,5.0
Algeria,5.0,5.0,5.0,5.1,5.6,6.1,7.0,8.7
Malaysia,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Mexico,5.0,5.0,5.0,5.0,5.0,5.0,5.3,5.0
Kuwait,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Lebanon,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Morocco,5.0,5.0,5.2,5.3,5.4,5.5,5.6,6.5
Mali,5.0,5.0,5.0,5.0,5.3,6.4,10.2,13.9
Mauritius,5.0,5.0,5.0,5.0,5.1,5.2,5.6,7.1
Brunei Darussalam,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Fiji,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Kiribati,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Korea, Rep.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Kazakhstan,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.0
Brazil,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11.8
Chile,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Cuba,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.6
"Egypt, Arab Rep.",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Iran, Islamic Rep.",5.0,5.5,6.0,6.4,6.5,6.6,6.5,5.2
Jordan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0
Gabon,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Ghana,5.0,5.0,5.1,6.0,6.9,8.1,11.6,17.5
Samoa,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.6
Turkmenistan,5.0,5.0,5.0,5.0,5.0,5.0,5.5,9.0
Turkey,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Uruguay,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Venezuela, RB",5.0,5.0,5.0,5.0,5.0,5.0,11.6,16.6
United Arab Emirates,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Saudi Arabia,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Tunisia,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
South Africa,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
