Country,2012,ID
Zambia,48.7,1
Namibia,38.7,2
Ethiopia,35.6,3
India,15.3,4
Guatemala,14.1,5
Vietnam,13.5,6
Honduras,13.5,7
Malaysia,5,8
Mexico,5,9
"Korea, Rep.",5,10
